prefecture,CITY,SCHOOL NAME,ENTRANCE MONTH,ADDRESS,TEL,URL,EMAIL
Tokyo,Shinjuku-ku,Japanese Language School Affiliated with Tokyo International University,4・10,"1-32-14 Takadanobaba, Shinjuku-ku, Tokyo 169-0075",+81-3-3205-8101,http://www.jpschool.ac.jp,jp@jpschool.ac.jp
Tokyo,Shinjuku-ku,Tokyo World Language Academy,7・10・1,"Kita-Shinjuku OC Bldg., 1-8-15 Kita-Shinjuku, Shinjuku-ku, Tokyo 169-0074",+81-3-5332-3531,http://twla.jp,twla21@yahoo.co.jp
Tokyo,Shinjuku-ku,UNITAS Japanese Language School Tokyo,7・10・1,"Sankyo Bldg. 2F, 2-2-9 22 Okubo, Shinjuku-ku, Tokyo 169-0072",+81-3-5287-5636,http://www.unitas-ej.com,japanese-tokyo@unitas-ej.com
Tokyo,Shinjuku-ku,Waseda Foreign Language College,4・10,"1-23-9 Takadanobaba, Shinjuku-ku, Tokyo 169-0075",+81-3-3208-8801,http://www.waseda-flc.ac.jp/,waseda.flc.ac.jp@gmail.com
Tokyo,Shinjuku-ku,"Waseda University, Intensive Japanese Language Program",4・9,"1-7-14 Nishi-Waseda, Shinjuku-ku, Tokyo 169-8050",+81-3-5273-3142,http://www.waseda.jp/cjl/html/e_study.index.html,-
Tokyo,Shinjuku-ku,Yohan Japanese Language School,7・10・1,"4-41-1 Takadanobaba, Shinjuku-ku, Tokyo 169-0075",+81-3-3365-6171,http://www.yohanschool.com,yohanschool@hotmail.com
Tokyo,Shinjuku-ku,Yoshida Institute of Japanese Language,7・10・1,"1-23-14 Nishi-Waseda, Shinjuku-ku, Tokyo 169-0051",+81-3-3202-0828,http://yosida.com,yosida@yosida.com
Tokyo,Shinjuku-ku,YU Language Academy,7・10・1,"Palace Bldg., 2-16-25 Ookubo, Shinjuku-ku, Tokyo 169-0072",+81-3-3209-0160,http://www.yula.jp,info@yula.jp
Tokyo,Shinjuku-ku,Japan Tokyo International School,4・7・10・1,"5F 2-7-19 Ichigaya Sadohara-cho, Shinjuku-ku, Tokyo 162-0842",+81-3-3857-6711,http://www.nihongo-ac.jp,nk-jtis@f3.dion.ne.jp
Tokyo,Shinjuku-ku,YU Language Academy,7・10・1,"Palace Bldg., 2-16-25 Ookubo, Shinjuku-ku, Tokyo 169-0072",+81-3-3209-0160,http://www.yula.jp,info@yula.jp
Tokyo,Shibuya-ku,Hiroo Japanese Center,4・7・10・1,"Palacion Hiroo Bldg. 402, 5-19-2 Hiroo, Shibuya-ku, Tokyo 150-0012",+81-3-3444-3481,http://www.japaneselanguage.net,hjc@cb.wakwak.com
Tokyo,Shibuya-ku,Aoyama School of Japanese,7・10・1,"1-5-5 Tomigaya, Shibuya-ku, Tokyo 151-0063",+81-3-3465-9577,http://www.aoyamaschool.com/,mail@aoyamaschool.com
Tokyo,Shibuya-ku,ARC Academy Shibuya School,4・7・10・1,"2-14-7 Shibuya, Shibuya-ku, Tokyo 150-0002",+81-3-3409-1057,http://www.arc-academy.net/,tokyo@arc.ac.jp
Tokyo,Shibuya-ku,OLJ Language Academy,4・7・10,"Nippon-Fudo Bldg., 2-1-13 Shibuya, Shibuya-ku, Tokyo 150-0002",+81-3-3400-7181,http://www.learning-japanese.jp,info@learning-japanese.jp
Tokyo,Shibuya-ku,Yamano Japanese Language School,4・10,"3-10-6 Sendagaya, Shibuya-ku, Tokyo 151-0051",+81-3-5772-5112,http://www.yamano.jp,info@yamano-js.jp
Tokyo,Shibuya-ku,Bunka Institute of Language,4・10,"3-22-1 Yoyogi, Shibuya-ku, Tokyo 151-8521",+81-3-3299-2011,http://www.bunka.ac.jp/bil/bil-hp.htm,bil@bunka.ac.jp
Tokyo,Shibuya-ku,Tokyo Central Japanese Language School,7・10・1,"4-30-3 Sendagaya, Shibuya-ku, Tokyo 151-0051",+81-3-5411-3331,http://www.tcj-nihongo.com,info@tcj-nihongo.co.jp
Tokyo,Shibuya-ku,Shibuya Language School,4・7・10・1,"8-18 Sakuragaoka-cho, Shibuya-ku, Tokyo 150-0031",+81-3-3461-8854,http://www.shibuya-gaigo.com/sls2/outline/index.html,nihongo@shibuya-gaigo.com
Tokyo,Shibuya-ku,The Tokyo School of the Japanese Language,4・10,"16-26 Nanpeidai-cho, Shibuya-ku, Tokyo 150-0036",+81-3-3463-7261,http://www.naganuma-school.ac.jp/index.html,http://www.naganuma-school.ac.jp/contact/form.html
Tokyo,Shibuya-ku,Tokyo Kogakuin Japanese Language School,4・7・10,"5-30-16 Sendagaya, Shibuya-ku, Tokyo 151-0051",+81-3-3352-3851,http://www.technos-jpschool.ac.jp/,info@technos-jpschool.ac.jp
Tokyo,Minato-ku,Aoyama International Education Institute Japanese Language Center,7・10・1,"Aoyama Center Bldg. 3F, 3-8-40 Minami-Aoayama, Minato-ku, Tokyo 107-0062",+81-3-3403-3186,http://www.aoyama-international.com/,info@aoyama-international.com
Tokyo,Minato-ku,Kokusai Zenrin Gakuin,4・10,"1-5-5 Shinbashi, Minato-ku, Tokyo 105-0004",+81-3-3573-3065,http://www.kokusaizenrin.com/,info@kokusaizenrin.com
Tokyo,Minato-ku,"Kazankai Foundation The Toa Language Institute, the",4・10,"Akasaka Kazan Bldg. 3F, 2-17-47 Akasaka, Minato-ku, Tokyo 107-0052",+81-3-5575-6303,bosyu@kazankai.org,http://toagakuin..kazankai.org/
Tokyo,Minato-ku,UJS Language Institute,7・10・1,"3-3-29 Roppongi, Minato-ku, Tokyo 106-0032",+81-3-5545-6941,http://ujsli.jp,info@ujsli.jp
Tokyo,Minato-ku,Edo Cultural Center,7・10・1,"7-10-9 Akasaka, Minato-ku, Tokyo 107-0052",+81-3-3589-0202,http://www.edocul.com,edo@edocul.com
Tokyo,Minato-ku,Tokyo Galaxy Language Academy,7・10・1,"5-10-10 Shiba, Minato-ku, Tokyo 108-0014",+81-3-5765-2805,http://www.tokyo-galaxy.com,info@tokyo-galaxy.com
Tokyo,Minato-ku,Tokyo Shibaura Institute of Foreign Language,4・10,"UP Chuo Tohuku Bldg., 3-1-12 Kaigan, Minato-ku, Tokyo 108-0022",+81-3-5232-2285,http://www.tokyoshibaura.com/,tokyoshibaura21@yahoo.co.jp
Tokyo,Minato-ku,Tokyo Japanese Language Center,4・7・10,"3-5-4 Shiba-Koen, Minato-ku, Tokyo 105-0011",+81-3-3433-3378,http://www.tjlc.jp,info@tjlc.jp
Tokyo,Minato-ku,"Keio University, Japanese Language Program of the Center for Japanese Studies",-,"2-15-45 Mita, Minato-ku, Tokyo 108-8345",+81-3-5427-1614,http://www.ic.keio.ac.jp/nncenter/index.html,ic-jlp@adst.keio.ac.jp
Tokyo,Toshima-ku,Toei Japanese Language Institute,4・7・10・1,"6-18-1 Minami-Nagasaki, Toshima-ku, Tokyo 171-0052",+81-3-3954-1146,http://www.toeigakuin.jp,info@toeigakuin.jp
Tokyo,Toshima-ku,Japan College of Foreign Language Japanese Language Division,4・10,"5-18-17 Mejiro, Toshima-ku, Tokyo 171-0031",+81-3-5996-5411,http://www.jcfl.ac.jp/nihongo,jcmejiro@nifty.com
Tokyo,Toshima-ku,Asia International Language Center,4・7・10・1,"Komagome Little Bldg., 3-2-7 Komagome, Toshima-ku, Tokyo 170-0003",+81-45-680-6866,http://ailc.asia/,info@ailc.asia
Tokyo,Toshima-ku,"Tokyo Institute of Language, Japanese Language Center",7・10・1,"3-26-16 Ikebukuro, Toshima-ku, Tokyo 171-0014",+81-3-3986-4447,http://www.j-study.net,info@j-study.net
Tokyo,Toshima-ku,International Conversation Academy (ICA),7・10・1,"Maruei Bldg. 5F, 3-22-13 Nishi-Ikebukuro, Toshima-ku, Tokyo 171-0021",+81-3-3984-2476,http://www.aikgroup.co.jp/ica/,ica@aikgroup.co.jp
Tokyo,Toshima-ku,International School of Business,4・10,"3-8-1 Sugamo, Toshima-ku, Tokyo 170-0002 (Main campus)",+81-3-3949-7811,http://www.isb.ac.jp,tokyodream@isb.ac.jp
Tokyo,Toshima-ku,An Language School,7・10・1,"2-41-19 Minami-Ikebukuro, Toshima-ku, Tokyo 171-0022",+81-3-3989-0007,http://www.anschool.net,an@anschool.net
Tokyo,Toshima-ku,Meros Language School,7・10・1,"2-45-7 Higashi-Ikebukuro, Toshima-ku, Tokyo 170-0013",+81-3-3980-0068,http://www.meros.jp,info@meros.com
Tokyo,Toshima-ku,Sunshine College,4,"4-23-1 Higashi-Ikebukuro, Toshima-ku, Tokyo 170-8434",+81-3-3982-4281,http://www.tokyo-fukushi.ac.jp/english/en_index.html,-
Tokyo,Toshima-ku,Tokyo Language Center,-,"3-10-12 Takada, Toshima-ku, Tokyo 171-0033",+81-3-5287-4690,NONE,tlc@tokyolc.jp
Tokyo,Toshima-ku,International Academy Japanese Language Institute,7・10・1,"3-28-1 Ikebukuro, Toshima-ku, Tokyo 171-0014",+81-3-5953-3400,http://www.ksa-ikebukuro.com/,info@ksa-ikebukuro.com
Tokyo,Toshima-ku,Sendagaya Japanese School,4・10,"3-18-14 Takada, Toshima-ku, Tokyo 171-0033",+81-3-3987-7001,http://www.jp-sjs.ac.jp/,sendagaya@jp-sjs.ac.jp
Tokyo,Toshima-ku,Toshima Japanese Language Institute,4・10,"1-13-11 Komagome, Toshima-ku, Tokyo 170-0003",+81-3-3942-7001,-,-
Tokyo,Nakano-ku,Tokyo Nakano Language School,7・10・1,"1-27-3 Yayoi-cho, Nakano-ku, Tokyo 164-0013",+81-3-5304-5250,http://www.tnls.net,info@tnls.net
Tokyo,Nakano-ku,International Culture School of Foreign Language,4・10,"Kokusai Jinbun Bldg., 3-26-13 Minamidai, Nakano-ku, Tokyo 164-0014",+81-3-5340-8524,http://ashjb.com,jb1988@world.odn.ne.jp
Tokyo,Nakano-ku,Tokyo Nakano Language School,7・10・1,"1-27-3 Yayoi-cho, Nakano-ku, Tokyo 164-0013",+81-3-5304-5250,http://www.tnls.net,info@tnls.net
Tokyo,Nakano-ku,TCC Japanese Institute,7・10・1,"Dai 5 Sakae Bldg., 5-28-4 Arai, Nakano-ku, Tokyo 165-0026",+81-3-3388-6728,http://www.tcc-ji.com/,tcc-ji@tcc-ji.com
Tokyo,Nakano-ku,East West Japanese Language Institute,4・10,"2-36-9 Chuo, Nakano-ku, Tokyo 164-0011",+81-3-3366-4717,http://www.eastwest.ac.jp/eastwest,info@eastwest.ac.jp
Tokyo,Nakano-ku,Tokyo Japanese Language  and  Culture College,4・10,"4-6-6 Higashi-Nakano, Nakano-ku, Tokyo 164-0003",+81-3-3360-4771,http://www.trajal.ac.jp/jlc/,jlc@trajal.ac.jp
Tokyo,>Chiyoda-ku,OHARA Japanese Language School,7・10・1,"4-4-6 Iidabashi, Chiyoda-ku, Tokyo 102-0072",+81-3-3262-0390,http://jls.o-hara.ac.jp,JLS@o-hara.ac.jp
Tokyo,Chiyoda-ku,YMCA Asian Language Institute Japanese Language School,7・10・1,"2-5-5 Sarugaku-cho, Chiyoda-ku, Tokyo 101-0064",+81-3-3233-0615,http://www.ymcajapan.org/ayc/nihongo/EN/EN_regular_course.html,ayc@ymcajapan.org
Tokyo,Chiyoda-ku,Kyoritsu Foundation Japanese Language Academy,4・10,"6-13-2 Kanda, Chiyoda-ku, Tokyo 101-0021",+81-3-5846-7580,http://www.kif-org.com/naj/,infom1@naj-ac.jp
Tokyo,Chiyoda-ku,Kokusai Gaigogakuin,7・10・1,"2-1-9 Higashi-Kanda, Chiyoda-ku, Tokyo 101-0031",+81-3-5687-1578,http://ifls.jp,kokusai@cronos.ocn.ne.jp
Tokyo,Chiyoda-ku,Chiyoda International Language Academy,7・10・1,"2-13-12 Iwamoto-cho, Chiyoda-ku, Tokyo 101-0032",+81-3-3865-0818,http://www.cila.jp,info@cila.jp
Tokyo,Chiyoda-ku,Kudan Institute of Language  and  Culture,7・10・1,"Sunlight Bldg. 3F, 3-2-1 Kanda-Jinbo-cho, Chiyoda-ku, Tokyo 101-0051",+81-3-3239-7923,info@geos-japanese-insti.co.jp,info@kilc.co.jp
Tokyo,Suginami-ku,TOPA 21st Century Language School,7・10・1,"1-21-3 Koenji-Kita, Suginami-ku, Tokyo 166-0002",+81-3-5380-5011,http://www.topa21.co.jp,office@topa21.co.jp
Tokyo,Suginami-ku,Shinwa Gaigo Academy,4・7・10・1,"2-14-16 Shimo-Igusa, Suginami-ku, Tokyo 167-0022",+81-3-3390-8543,http://www.geocities.jp/jshinwa/,jshinwa@ybb.ne.jp
Tokyo,Suginami-ku,Tokyo Noah Language School,4・7・10・1,"3-49-9 Horinouchi, Suginami-ku, Tokyo 166-0013",+81-3-3315-8511,http://www.tokyonoah.com,tokyo.noa@jcom.home.ne.jp
Tokyo,Suginami-ku,Tokyo Sanritsu Academy,4・7・10,"1-3-14 Kami-Takaido, Suginami-ku, Tokyo 168-0074",+81-3-3304-4560,office@tokyo-sanritsu.jp,http://www.tokyo-sanritsu.jp
Tokyo,Suginami-ku,Gendai Language School,4・10,"1-25-15 Hon-Amanuma, Suginami-ku, Tokyo 167-0031",+81-3-3399-4366,http://www.gendai813.com/,contact@gendai813.com
Tokyo,Bunkyo-ku,"Takushoku University, Intensive Japanese Language Program for Overseas Students",4,"1-7-1 Otsuka, Bunkyo-ku, Tokyo 112-0012",+81-3-3947-8079,http://www.takushoku-u.ac.jp/english/index.html,web_adm@ofc.takushoku-u.ac.jp
Tokyo,Bunkyo-ku,The Institute of Japanese-Chinese Studies,4,"1-5-3 Koraku, Bunkyo-ku, Tokyo 112-0004",+81-3-3814-3591,http://www.rizhong.org/,info@rizhong.org
Tokyo,Bunkyo-ku,Hongo Language School,4・10,"2-4-8 Yushima, Bunkyo-ku, Tokyo 113-0034",+81-3-5803-7199,-,-
Tokyo,Bunkyo-ku,"Japanese Language Institute, Asian Students Cultural Association",7・10・1,"2-12-13 Honkomagome, Bunkyo-ku, Tokyo 113-0021",+81-3-3946-2171,http://www.abk.or.jp,nihongo@abk.or.jp
Tokyo,Taito-ku,Tamagawa International Language School Culture Department,4・7・10・1,"Tamagawa International Bldg., 5-15-10 Asakusabashi, Taito-ku, Tokyo 111-0053",+81-3-3861-8710,http://www.tils.co.jp,info@tils.ac.jp
Tokyo,Taito-ku,Tamagawa International Language School,4・7・10・1,"Tamagawa International Bldg., 5-15-10 Asakusabashi, Taito-ku, Tokyo 111-0053",+81-3-3861-8201,http://www.tils.co.jp,info@tils.co.jp
Tokyo,Taito-ku,Aisei Institute of Education,4・10,"3-21-7 Asakusabashi, Taito-ku, Tokyo 111-0053",+81-3-6904-3767,http://aiseikyoikugakuen.rakurakuhp.com,aisei_kyoikugakuen@yahoo.co.jp
Tokyo,Taito-ku,Inter-Cultural Institute of Japan,4・7・10・1,"2-20-9 Taito, Taito-ku, Tokyo 110-0016",+81-3-5816-4861,http://www.incul.com,incul@incul.com
Tokyo,Taito-ku,LIC Kokusai Gakuin,4・7・10・1,"4-1-11 Higasi-Ueno, Taito-ku, Tokyo 110-0015",+81-3-5830-8305,http://www.lic.home-world.net,info@lic.home-world.net
Tokyo,Taito-ku,Tokyo Riverside School,-,"Sunny Bldg. 2-2-5 Hanakawado, Taito-ku, Tokyo 111-0033",+81-3-3847-4871,http://www.tokyoriverside.co.jp,japanese-school@tokyoriverside.co.jp
Tokyo,Taito-ku,Tokyo International Business College,4・10,"2-7-5 Yanagibashi, Taito-ku, Tokyo 111-0052",+81-3-5825-8338,http://www.tibc.jp,info@tibc.jp
Tokyo,Taito-ku,Tokyo International Culture Education Institute,4・7・10,"2-13-2 Kuramae, Taito-ku, Tokyo 111-0051",+81-3-3861-4511,http://www.tokyo-icei.jp,ticei@tokyo-icei.jp
Tokyo,Taito-ku,Waseda Bunka Kan Nihongoka,4・7・10・1,"Waseda Bunka-kan Bldg., 2-18-9 Yanagibashi, Taito-ku, Tokyo 111-0052",+81-3-3863-4111,http://waseda-jp.org/,info@waseda-jp.org
Tokyo,Edogawa-ku,Tokyo Language Education Academy,4・7・10・1,"5-23-7 Hirai, Edogawa-ku, Tokyo 132-0035",+81-3-5631-5601,http://www.tokyolea.jp,tokyolea@tokyolea.jp
Tokyo,Edogawa-ku,Jishugakkan Japanese Language Institute,4・7・10・1,"2-1-22 Mizue, Edogawa-ku, Tokyo 132-0011",+81-3-3679-3813,http://www1.ocn.ne.jp/~jsg/,jishu08@guitar.ocn.ne.jp
Tokyo,Edogawa-ku,Tokyo International Asahi Institute,4・7・10・1,"1-7-8 Higashi-Kasai, Edogawa-ku, Tokyo 134-0084",+81-3-5679-8491,-,marimoriasahi@ybb.ne.jp
